HUC_10,NAME,Length_m,Rating,
401010205,LOWER CROWSNEST RIVER,812,ZERO,
401010205,LOWER CROWSNEST RIVER,75,ZERO,
401010205,LOWER CROWSNEST RIVER,641,ZERO,
401010205,LOWER CROWSNEST RIVER,2630,ZERO,
401010205,LOWER CROWSNEST RIVER,2346,ZERO,
401010205,LOWER CROWSNEST RIVER,1418,ZERO,
401010205,LOWER CROWSNEST RIVER,173,ZERO,
401010205,LOWER CROWSNEST RIVER,2380,ZERO,
401010205,LOWER CROWSNEST RIVER,237,ZERO,
401010205,LOWER CROWSNEST RIVER,191,ZERO,
401010205,LOWER CROWSNEST RIVER,795,ZERO,
401010205,LOWER CROWSNEST RIVER,1501,ZERO,
401010205,LOWER CROWSNEST RIVER,289,ZERO,
401010205,LOWER CROWSNEST RIVER,425,ZERO,
401010205,LOWER CROWSNEST RIVER,851,ZERO,
401010205,LOWER CROWSNEST RIVER,1406,ZERO,
401010205,LOWER CROWSNEST RIVER,892,ZERO,
401010205,LOWER CROWSNEST RIVER,666,ZERO,
401010205,LOWER CROWSNEST RIVER,560,ZERO,
401010205,LOWER CROWSNEST RIVER,652,ZERO,
401010205,LOWER CROWSNEST RIVER,770,ZERO,
401010205,LOWER CROWSNEST RIVER,796,ZERO,
401010205,LOWER CROWSNEST RIVER,930,ZERO,
401010205,LOWER CROWSNEST RIVER,989,ZERO,
401010205,LOWER CROWSNEST RIVER,393,ZERO,
401010205,LOWER CROWSNEST RIVER,359,ZERO,
401010205,LOWER CROWSNEST RIVER,162,ZERO,
401010205,LOWER CROWSNEST RIVER,354,ZERO,
401010205,LOWER CROWSNEST RIVER,241,ZERO,
401010205,LOWER CROWSNEST RIVER,367,ZERO,
401010205,LOWER CROWSNEST RIVER,872,ZERO,
401010205,LOWER CROWSNEST RIVER,264,ZERO,
401010205,LOWER CROWSNEST RIVER,790,ZERO,
401010205,LOWER CROWSNEST RIVER,506,ZERO,
401010205,LOWER CROWSNEST RIVER,624,ZERO,
401010205,LOWER CROWSNEST RIVER,143,ZERO,
401010205,LOWER CROWSNEST RIVER,1861,ZERO,
401010205,LOWER CROWSNEST RIVER,432,ZERO,
401010205,LOWER CROWSNEST RIVER,221,ZERO,
401010205,LOWER CROWSNEST RIVER,578,ZERO,
401010205,LOWER CROWSNEST RIVER,298,ZERO,
401010205,LOWER CROWSNEST RIVER,137,ZERO,
401010205,LOWER CROWSNEST RIVER,648,ZERO,
401010205,LOWER CROWSNEST RIVER,393,ZERO,
401010205,LOWER CROWSNEST RIVER,116,ZERO,
401010205,LOWER CROWSNEST RIVER,649,ZERO,
401010205,LOWER CROWSNEST RIVER,954,ZERO,
401010205,LOWER CROWSNEST RIVER,337,ZERO,
401010205,LOWER CROWSNEST RIVER,394,ZERO,
401010205,LOWER CROWSNEST RIVER,492,ZERO,
401010205,LOWER CROWSNEST RIVER,459,ZERO,
401010205,LOWER CROWSNEST RIVER,623,ZERO,
401010205,LOWER CROWSNEST RIVER,382,ZERO,
401010205,LOWER CROWSNEST RIVER,705,ZERO,
401010205,LOWER CROWSNEST RIVER,376,ZERO,
401010205,LOWER CROWSNEST RIVER,471,ZERO,
401010205,LOWER CROWSNEST RIVER,29,ZERO,
401010205,LOWER CROWSNEST RIVER,783,ZERO,
401010205,LOWER CROWSNEST RIVER,856,ZERO,
401010205,LOWER CROWSNEST RIVER,194,ZERO,
401010205,LOWER CROWSNEST RIVER,49,ZERO,
401010205,LOWER CROWSNEST RIVER,60,ZERO,
401010205,LOWER CROWSNEST RIVER,309,ZERO,
401010205,LOWER CROWSNEST RIVER,433,ZERO,
401010205,LOWER CROWSNEST RIVER,408,ZERO,
401010205,LOWER CROWSNEST RIVER,214,ZERO,
401010205,LOWER CROWSNEST RIVER,309,ZERO,
401010205,LOWER CROWSNEST RIVER,436,ZERO,
401010205,LOWER CROWSNEST RIVER,612,ZERO,
401010205,LOWER CROWSNEST RIVER,832,ZERO,
401010205,LOWER CROWSNEST RIVER,82,ZERO,
401010205,LOWER CROWSNEST RIVER,637,ZERO,
401010205,LOWER CROWSNEST RIVER,186,ZERO,
401010205,LOWER CROWSNEST RIVER,757,ZERO,
401010205,LOWER CROWSNEST RIVER,1309,ZERO,
401010205,LOWER CROWSNEST RIVER,493,ZERO,
401010205,LOWER CROWSNEST RIVER,349,ZERO,
401010205,LOWER CROWSNEST RIVER,476,ZERO,
401010205,LOWER CROWSNEST RIVER,889,ZERO,
401010205,LOWER CROWSNEST RIVER,370,ZERO,
401010205,LOWER CROWSNEST RIVER,649,ZERO,
401010205,LOWER CROWSNEST RIVER,1076,ZERO,
401010205,LOWER CROWSNEST RIVER,929,ZERO,
401010205,LOWER CROWSNEST RIVER,277,ZERO,
401010205,LOWER CROWSNEST RIVER,466,ZERO,
401010205,LOWER CROWSNEST RIVER,51,ZERO,
401010205,LOWER CROWSNEST RIVER,709,ZERO,
401010205,LOWER CROWSNEST RIVER,60,ZERO,
401010205,LOWER CROWSNEST RIVER,101,ZERO,
401010205,LOWER CROWSNEST RIVER,1033,ZERO,
401010205,LOWER CROWSNEST RIVER,397,ZERO,
401010205,LOWER CROWSNEST RIVER,69,ZERO,
401010205,LOWER CROWSNEST RIVER,239,ZERO,
401010205,LOWER CROWSNEST RIVER,49,ZERO,
401010205,LOWER CROWSNEST RIVER,466,ZERO,
401010205,LOWER CROWSNEST RIVER,350,ZERO,
401010205,LOWER CROWSNEST RIVER,674,ZERO,
401010205,LOWER CROWSNEST RIVER,102,ZERO,
401010205,LOWER CROWSNEST RIVER,821,ZERO,
401010205,LOWER CROWSNEST RIVER,468,ZERO,
401010205,LOWER CROWSNEST RIVER,390,ZERO,
401010205,LOWER CROWSNEST RIVER,383,ZERO,
401010205,LOWER CROWSNEST RIVER,1449,ZERO,
401010205,LOWER CROWSNEST RIVER,520,ZERO,
401010205,LOWER CROWSNEST RIVER,375,ZERO,
401010205,LOWER CROWSNEST RIVER,256,ZERO,
401010205,LOWER CROWSNEST RIVER,411,ZERO,
401010205,LOWER CROWSNEST RIVER,258,ZERO,
401010205,LOWER CROWSNEST RIVER,59,ZERO,
401010205,LOWER CROWSNEST RIVER,437,ZERO,
401010205,LOWER CROWSNEST RIVER,739,ZERO,
401010205,LOWER CROWSNEST RIVER,315,ZERO,
401010205,LOWER CROWSNEST RIVER,614,ZERO,
401010205,LOWER CROWSNEST RIVER,544,ZERO,
401010205,LOWER CROWSNEST RIVER,221,ZERO,
401010205,LOWER CROWSNEST RIVER,679,ZERO,
401010205,LOWER CROWSNEST RIVER,342,ZERO,
401010205,LOWER CROWSNEST RIVER,1031,ZERO,
401010205,LOWER CROWSNEST RIVER,1034,ZERO,
401010205,LOWER CROWSNEST RIVER,570,ZERO,
401010205,LOWER CROWSNEST RIVER,1017,ZERO,
401010205,LOWER CROWSNEST RIVER,354,ZERO,
401010205,LOWER CROWSNEST RIVER,548,ZERO,
401010205,LOWER CROWSNEST RIVER,132,ZERO,
401010205,LOWER CROWSNEST RIVER,882,ZERO,
401010205,LOWER CROWSNEST RIVER,411,ZERO,
401010205,LOWER CROWSNEST RIVER,236,ZERO,
401010205,LOWER CROWSNEST RIVER,698,ZERO,
401010205,LOWER CROWSNEST RIVER,709,ZERO,
401010205,LOWER CROWSNEST RIVER,298,ZERO,
401010205,LOWER CROWSNEST RIVER,177,ZERO,
401010205,LOWER CROWSNEST RIVER,401,ZERO,
401010205,LOWER CROWSNEST RIVER,410,ZERO,
401010205,LOWER CROWSNEST RIVER,30,ZERO,
401010205,LOWER CROWSNEST RIVER,599,ZERO,
401010205,LOWER CROWSNEST RIVER,589,ZERO,
